Feature	Gain	Cover	Frequency
ctrx_quarter	0.119562090368009	0.00681936589286323	0.00661207325845183
Visa_status	0.0758187413984224	0.00308082245032779	0.0007193050406684
mcuentas_saldo	0.0391982746629132	0.00916728689809282	0.0094062966856637
rf_001_006	0.0293646905299812	0.000520039209782813	0.000165993470923477
foto_mes	0.0180724897187538	0.00765404184111861	0.0113152216012837
mcaja_ahorro	0.0144346060401736	0.00236440463466536	0.00592043379627068
Visa_msaldototal	0.0144159157296766	0.00471934607117026	0.00464781718585736
mprestamos_personales	0.00991401365152051	0.0050773926325797	0.0032368726830078
rf_016_007	0.00925767670033359	0.00169947839342023	0.00116195429646434
rf_009_003	0.00779009719641698	0.00183432974829622	0.000497980412770431
numero_de_cliente	0.00767122821704315	0.00612238927150166	0.0133348088308527
mcuenta_corriente	0.00699909370486005	0.004492226671632	0.00744204061306922
Visa_Fvencimiento	0.00697933309881409	0.0044317410333478	0.00907430974381674
ctrx_quarter_delta1	0.00661743533365706	0.00276664042603731	0.00630775189509213
mactivos_margen	0.0065384374538072	0.00493219412670936	0.0079676866043269
mtarjeta_visa_consumo	0.00645030812223715	0.00639444221909012	0.00500746970619156
ctrx_quarter_delta2	0.00638232217501962	0.00350108938943279	0.00749737177004371
mrentabilidad_annual_lag2	0.00599864033790099	0.00355899575044314	0.00758036850550545
cliente_edad_lag2	0.00587544941539487	0.0053870616426465	0.00948929342112544
cliente_edad	0.00577942137078055	0.00579498929235583	0.00968295247053616
rf_013_000	0.0057712670199623	0.000692838049366063	0.000304321363359708
mrentabilidad_annual	0.00574799521115413	0.00322504831967863	0.00794002102583965
rf_018_006	0.00567355227630259	0.000789155742003025	0.000525645991257677
mcuentas_saldo_delta2	0.00563938751553017	0.00387543740620294	0.00744204061306922
Visa_mpagominimo	0.00544583780027169	0.00529615533717858	0.00816134565373762
rf_001_001	0.00534840032349671	0.000285157704568662	0.000138327892436231
cdescubierto_preacordado	0.00530182255063755	0.00072126129077425	0.000829967354617385
mrentabilidad_annual_delta1	0.0051817433344768	0.0026652627162811	0.00749737177004371
mpasivos_margen	0.00517986023498869	0.00316817371764487	0.0068333978863498
cpayroll_trx	0.0051747568883965	0.00191618839514957	0.000857632933104631
mpayroll	0.00513377627637016	0.000896432959701964	0.00127261661041332
cprestamos_personales_delta2	0.00508211891135972	0.000936788843362012	0.000553311569744923
mcomisiones_lag2	0.00504821242020708	0.00232567197488787	0.0068887290433243
ccomisiones_mantenimiento_delta2	0.00480569600344415	0.00244173704885951	0.00141094450284955
rf_004_005	0.00477441909869384	2.34687314379518e-05	5.53311569744923e-05
mrentabilidad_annual_lag1	0.00477259070800197	0.00297492187260506	0.00705472251424777
cdescubierto_preacordado_delta2	0.00471145141617864	0.000931373130159525	0.000442649255795939
Visa_fechaalta	0.00469522021933452	0.00327174785071507	0.00769103081945444
mprestamos_personales_delta2	0.00463283013340626	0.00324800754051086	0.00240690532839042
mrentabilidad_annual_delta2	0.00461609869484648	0.00432792536341027	0.00771869639794168
Master_Fvencimiento	0.00450841020317377	0.00271989571198489	0.00799535218281414
mcuentas_saldo_delta1	0.00441286246098898	0.00365772208236808	0.00694406020029879
Visa_mpagominimo_delta1	0.00434762081402225	0.00384450242170968	0.00462015160737011
Master_fechaalta	0.00430297776944651	0.00252501655736427	0.00603109611021966
rf_011_003	0.0042974634374855	0.00206572591256503	0.00058097714823217
mcomisiones	0.00425541392375299	0.00354567036575725	0.0076080340839927
Visa_mpagominimo_lag1	0.00418418080625771	0.00289927973581187	0.00550545011896199
mcuentas_saldo_lag2	0.00393330102647056	0.00551015339660842	0.0065290765229901
mactivos_margen_lag1	0.00392192323213257	0.00349917535996867	0.00605876168870691
chomebanking_transacciones_lag1	0.00389189310600152	0.00174119217091156	0.0061694240026559
mcomisiones_mantenimiento	0.00381048617848945	0.00403664824419877	0.00550545011896199
rf_009_014_lag1	0.00378897009596336	0.000437135104846977	0.000165993470923477
mcomisiones_lag1	0.00372780073549545	0.00253729600329729	0.0068887290433243
Visa_Fvencimiento_lag2	0.00371172654741111	0.00282572298747425	0.0068887290433243
mactivos_margen_delta2	0.00368475243986315	0.00370746521826811	0.00672273557240082
Master_Fvencimiento_lag2	0.00365269294552588	0.00373716175552022	0.00614175842416865
rf_015_011	0.00364137819339091	0.00235755652372227	0.000497980412770431
Visa_mconsumototal	0.00362094411771518	0.00229067893068821	0.00605876168870691
mpasivos_margen_lag1	0.00361192550148219	0.00241074870995375	0.0064737453660156
cproductos	0.00361183866352261	0.00362735428892646	0.0050351352846788
cliente_antiguedad	0.00354056606715074	0.00430404109242642	0.00641841420904111
cliente_antiguedad_lag2	0.00352858387917364	0.0024289889493033	0.00589276821778343
ctarjeta_visa_transacciones	0.00352841589000396	0.00301492927023761	0.00420516793006142
chomebanking_transacciones_lag2	0.00349288359847429	0.00211632824677424	0.00572677474685996
mpasivos_margen_lag2	0.00344491030205612	0.00345894613295447	0.0064737453660156
Visa_Fvencimiento_lag1	0.00343307833758114	0.0031259566782628	0.00625242073811763
mactivos_margen_lag2	0.00342576544696924	0.00373538447677998	0.00536712222652576
chomebanking_transacciones	0.00337112489578287	0.00247529577263703	0.00622475515963039
Visa_mfinanciacion_limite	0.00334693631822572	0.00303921946735969	0.00525645991257677
mcuenta_corriente_lag2	0.00334331262854628	0.00352269456179681	0.00533945664803851
mactivos_margen_delta1	0.00330373895118727	0.00213476940634378	0.00614175842416865
mrentabilidad	0.0032696942231582	0.00260062168253799	0.00636308305206662
mcuentas_saldo_lag1	0.00326113455390817	0.00211182364428226	0.0058097714823217
mcomisiones_delta1	0.00325209756348118	0.00275057473949934	0.00625242073811763
mcuenta_corriente_delta2	0.00320691215943965	0.00557676734193754	0.00603109611021966
Visa_mpagominimo_lag2	0.00317413757595286	0.0024697252835713	0.00478614507829359
mrentabilidad_delta1	0.0031692089511629	0.00319985133787949	0.00622475515963039
Visa_fechaalta_lag2	0.00316226965213469	0.00259618317222364	0.00486914181375533
mttarjeta_visa_debitos_automaticos_delta2	0.0031426796028721	0.00258402725857899	0.00486914181375533
mcuenta_corriente_lag1	0.00313849707577454	0.00407166844627506	0.0043711614009849
Master_fechaalta_lag2	0.00312766704529506	0.00226071610204406	0.00514579759862779
mrentabilidad_delta2	0.00310897258874739	0.00273611713572687	0.00578210590383445
Master_mpagominimo	0.00310433630354516	0.00339744195412922	0.0032368726830078
cliente_antiguedad_lag1	0.00305000238244592	0.00397210718989527	0.00558844685442373
mrentabilidad_lag1	0.00300578035357344	0.00336073868470772	0.0054501189619875
mcomisiones_delta2	0.00298881415981439	0.00343172120281049	0.00542245338350025
cliente_edad_lag1	0.00297206404254284	0.00204478935270342	0.00462015160737011
mcuenta_corriente_delta1	0.00286195389257883	0.00396499471024166	0.00492447297072982
mttarjeta_visa_debitos_automaticos_lag2	0.00283813101415356	0.0021217278575189	0.00459248602888286
chomebanking_transacciones_delta2	0.00281256664408692	0.00265628475487203	0.00531179106955127
Master_mfinanciacion_limite	0.00274621688983719	0.00258182915291866	0.00497980412770431
