Feature	Gain	Cover	Frequency
ctrx_quarter	0.239795005120496	0.0216941677492722	0.0210046146501883
mcaja_ahorro	0.10554870129493	0.023908800817679	0.0254070970137379
cpayroll_trx	0.0636171820639576	0.0179174336108113	0.0055163634434838
mtarjeta_visa_consumo	0.0632216499303394	0.0212432713418869	0.0168143001113881
mcuentas_saldo	0.0425197740244762	0.0120344628085104	0.0185116427093831
mpayroll	0.0387317208072307	0.0289380594113018	0.0126239855725879
ctarjeta_visa_transacciones	0.0379849712248072	0.0135906613232323	0.013101363178274
mcuenta_corriente	0.0363435189741042	0.0243289100150791	0.0350607330398345
mpasivos_margen	0.0334781865076716	0.00703845332646712	0.0106614331936562
mrentabilidad_annual	0.0194435199840148	0.0302581999858513	0.0400466769214449
mprestamos_personales	0.0139918424248221	0.0136687353855525	0.0152230414257678
mactivos_margen	0.011937762982654	0.0216107318961319	0.0309234604572217
Visa_msaldopesos	0.0116270752583076	0.0064113230295378	0.00975971993847133
Master_fechaalta	0.0106321639317506	0.026448148744951	0.0378719567177638
mrentabilidad	0.0102562093917396	0.0282126190747841	0.0288548241659152
cliente_edad	0.0101163695162044	0.0287032347937007	0.0403649286585689
Visa_mpagominimo	0.0100289053529156	0.0201241892265886	0.0199968174826288
mcuenta_debitos_automaticos	0.00990547885292189	0.0118304902293885	0.00800933538428897
cdescubierto_preacordado	0.00756526843356464	0.0163964527802349	0.00853975494616241
Visa_mpagospesos	0.00724377849052768	0.012444318035557	0.0173447196732615
mcomisiones_mantenimiento	0.00718236684203605	0.0151738506280753	0.0168143001113881
Visa_status	0.00717227492166162	0.00530199206846776	0.00509202779398504
cproductos	0.00714833191342673	0.0159697706060021	0.014639579907707
numero_de_cliente	0.00692770081892292	0.0161211704387424	0.0282713626478545
mtransferencias_recibidas	0.00664324106502187	0.00981576768153181	0.0142152442582082
Master_Fvencimiento	0.00664198002798927	0.00940093647226429	0.0214819922558744
Master_mfinanciacion_limite	0.00585341605326383	0.0150361817866303	0.026043600487986
cprestamos_personales	0.00573865689660273	0.00703860195764881	0.0103431814565321
ctarjeta_debito_transacciones	0.00567315447267202	0.0167818803144532	0.0143213281705829
Visa_msaldototal	0.0056314693192489	0.0023847904725123	0.00541027953110911
Visa_mfinanciacion_limite	0.00560218910307939	0.00942255124092008	0.0205802790006895
mpagomiscuentas	0.00554677528968245	0.0131343635954573	0.0103962234127195
Visa_fechaalta	0.00533879289667099	0.00288732514725385	0.00965363602609664
mtarjeta_master_consumo	0.00511018243690111	0.00798790773389246	0.00493290192542301
Visa_Fvencimiento	0.00507972445107867	0.00897315537599672	0.0197846496578794
chomebanking_transacciones	0.00504278508348353	0.0100435117626267	0.0128891953535246
tmobile_app	0.00496367865075895	0.0148743097803123	0.00620590887391927
cliente_antiguedad	0.0048574130909891	0.00933753262381308	0.0184055587970084
Master_mpagospesos	0.00423429127301798	0.0211449676270297	0.0182464329284464
mtransferencias_emitidas	0.00422308411023364	0.0201085386793937	0.0140030764334589
ccuenta_debitos_automaticos	0.00363518709543067	0.00477112417942167	0.00514506975017239
ccaja_ahorro	0.00360945177642313	0.00426263160795042	0.00498594388161035
mcaja_ahorro_dolares	0.00358782931036838	0.0148173176280498	0.0140030764334589
mautoservicio	0.00354903797932525	0.00450883916041275	0.00546332148729645
Visa_cconsumos	0.00330737462408747	0.00939449947715108	0.0141622023020209
ccomisiones_otras	0.00323670641963302	0.00645448931953801	0.00827454516522569
ccajas_transacciones	0.00317213501200759	0.00779685658048057	0.0040842306264255
mttarjeta_visa_debitos_automaticos	0.00316621162780709	0.00615861997819925	0.00933538428897258
Master_mlimitecompra	0.00313028010105542	0.00543079679922624	0.0105553492812815
Master_status	0.00301738976976528	0.0083940598308592	0.00424335649498754
ccomisiones_mantenimiento	0.00294978044355211	0.00865714650953956	0.00631199278629396
ccaja_seguridad	0.00294448803112739	0.00586168175729859	0.00339468519599003
Visa_mlimitecompra	0.00278127892733622	0.00446072376829897	0.00938842624515992
Master_mpagominimo	0.00270789843141307	0.00529924397278936	0.00657720256723068
ctransferencias_recibidas	0.00266035326917711	0.0146603140835234	0.0102901395003448
Master_msaldototal	0.00262243680103499	0.00700793175518969	0.00583461518060786
Master_msaldopesos	0.0025798475959124	0.00669738113170252	0.00838062907760038
ccallcenter_transacciones	0.00252982404748055	0.00454870077839462	0.00530419561873442
Visa_mconsumospesos	0.00252159179800915	0.00725609206839012	0.0109266429745929
mcomisiones	0.00224195501191483	0.00395960741451457	0.00827454516522569
thomebanking	0.00215263404836634	0.00452157084418863	0.00424335649498754
tcallcenter	0.00193422974883625	0.00387785868340466	0.00334164323980268
Visa_mconsumosdolares	0.00191307677980558	0.00616088423194578	0.00652416061104334
mcomisiones_otras	0.0018719460263302	0.00324667107145188	0.00604678300535724
