wf_i,wf_j,p_wf_i_greater_wf_j,p_wf_j_greater_wf_i
WF_01,WF_02,0.97265625,0.037109375
WF_01,WF_03,0.4521484375,0.5673828125
WF_01,WF_04,0.857421875,0.154296875
WF_01,WF_05,0.02734375,0.978515625
WF_01,WF_06,0.068359375,0.9375
WF_01,WF_07,0.9677734375,0.041015625
WF_01,WF_08,0.1435546875,0.8681640625
WF_01,WF_09,0.0322265625,0.9755859375
WF_01,WF_10,0.03125,0.9755859375
WF_01,WF_11,0.0556640625,0.9501953125
WF_02,WF_03,0.03125,0.9755859375
WF_02,WF_04,0.25390625,0.76171875
WF_02,WF_05,0.001953125,0.9990234375
WF_02,WF_06,0.0546875,0.94921875
WF_02,WF_07,0.9248046875,0.0849609375
WF_02,WF_08,0.013671875,0.990234375
WF_02,WF_09,0.0048828125,0.9970703125
WF_02,WF_10,0.005859375,0.99609375
WF_02,WF_11,0.0068359375,0.9951171875
WF_03,WF_04,0.9375,0.068359375
WF_03,WF_05,0.056640625,0.951171875
WF_03,WF_06,0.16796875,0.845703125
WF_03,WF_07,0.9921875,0.01171875
WF_03,WF_08,0.30078125,0.71484375
WF_03,WF_09,0.0390625,0.96484375
WF_03,WF_10,0.0322265625,0.9755859375
WF_03,WF_11,0.080078125,0.935546875
WF_04,WF_05,0.0068359375,0.99609375
WF_04,WF_06,0.056640625,0.951171875
WF_04,WF_07,0.94921875,0.056640625
WF_04,WF_08,0.01171875,0.9921875
WF_04,WF_09,0.009765625,0.9931640625
WF_04,WF_10,0.064453125,0.9453125
WF_04,WF_11,0.021484375,0.982421875
WF_05,WF_06,0.845703125,0.16796875
WF_05,WF_07,0.99609375,0.005859375
WF_05,WF_08,0.97265625,0.03125
WF_05,WF_09,0.353515625,0.662109375
WF_05,WF_10,0.48046875,0.55859375
WF_05,WF_11,0.3212890625,0.6962890625
WF_06,WF_07,0.98828125,0.015625
WF_06,WF_08,0.79296875,0.224609375
WF_06,WF_09,0.1435546875,0.8681640625
WF_06,WF_10,0.2783203125,0.75390625
WF_06,WF_11,0.3125,0.7216796875
WF_07,WF_08,0.013671875,0.990234375
WF_07,WF_09,0.0009765625,1.0
WF_07,WF_10,0.0048828125,0.9970703125
WF_07,WF_11,0.0048828125,0.9970703125
WF_08,WF_09,0.05859375,0.953125
WF_08,WF_10,0.19140625,0.818359375
WF_08,WF_11,0.1416015625,0.8662109375
WF_09,WF_10,0.74609375,0.26953125
WF_09,WF_11,0.71484375,0.298828125
WF_10,WF_11,0.423828125,0.6162109375
