Feature	Gain	Cover	Frequency
ctrx_quarter	0.12443715546235	0.0165371316632544	0.0179353727487176
mcaja_ahorro	0.104074650806093	0.0161231490656806	0.0166248549069532
mcuentas_saldo	0.0492556795754522	0.0151760566772701	0.0235144344179429
ctarjeta_visa_transacciones	0.0472360888123925	0.0141685252908472	0.0147901299284832
mtarjeta_visa_consumo	0.0441491030648285	0.0146828955182663	0.011794660575879
mpayroll	0.0419336905106396	0.0205935936939529	0.00977271876287116
cpayroll_trx	0.0348108312587788	0.00881309444079069	0.00415621372673831
mpasivos_margen	0.0327427795081553	0.0124193281209941	0.0169618452091212
mcuenta_corriente	0.0215036325134789	0.0219968212094199	0.0239637548208335
mrentabilidad_annual	0.0172956562222619	0.0294566406973172	0.0255738195978582
ctarjeta_debito_transacciones	0.0167443451403777	0.0181894639470867	0.0132549518852735
Visa_mpagominimo	0.0158394741496063	0.017083583398286	0.0190212303890366
cdescubierto_preacordado	0.0146237448246005	0.0114795734802209	0.00539184483468754
mactivos_margen	0.0135900703076055	0.0254794914103075	0.0236642078855731
Visa_msaldototal	0.0133221088850774	0.00678605911803617	0.0111955667053581
mrentabilidad	0.0127751247033124	0.0252740243668383	0.0219792563747332
mtransferencias_recibidas	0.0123785856867839	0.0118982258042158	0.0137042722881642
mextraccion_autoservicio	0.0122427435238257	0.00472071292225251	0.0063653723742839
Master_fechaalta	0.0110858590819422	0.0296389714107483	0.0261354701014715
ctarjeta_visa	0.0104912317223249	0.000713399279630779	0.00138540457557944
mcomisiones_mantenimiento	0.0103559773003773	0.0198751717701791	0.0129928483169207
mprestamos_personales	0.00977142083745442	0.0178584831862649	0.0145280263601303
cliente_edad	0.00963109988690863	0.0315001491899931	0.0281199685475718
Visa_mconsumototal	0.00939958637708136	0.00571351183189336	0.0108585764031902
Visa_fechaalta	0.00938346245140245	0.0119851382266638	0.0218669262740106
Master_Fvencimiento	0.00907731151693711	0.0158068649384346	0.0249747257273374
Visa_Fvencimiento	0.00901286561930526	0.0173233137896598	0.0247875088927996
cprestamos_personales	0.00894994407881254	0.00923490188598284	0.00928595499307298
Visa_mpagospesos	0.00886478302869122	0.015984691355627	0.0187965701875913
mcuenta_debitos_automaticos	0.00872584077215552	0.00976613128708182	0.0102969258995769
Visa_status	0.00865229999156409	0.00665038982560926	0.00475530759725915
numero_de_cliente	0.00864690137919832	0.0160518771479036	0.0234021043172202
ccomisiones_otras	0.00844333676552153	0.00632313767728306	0.00954805856142584
ccomisiones_mantenimiento	0.00801801530081551	0.00994854747277379	0.00539184483468754
chomebanking_transacciones	0.00748745185872767	0.0106888457000312	0.0151271202306511
cproductos	0.007459604656507	0.0112987527767307	0.0117197738420639
Visa_msaldopesos	0.00734937768592221	0.00631799831295587	0.0104092560002995
cliente_antiguedad	0.00729737379325409	0.0175006227780044	0.0200322012955405
mtransferencias_emitidas	0.00705889710996702	0.0149000281467507	0.0116074437413412
mautoservicio	0.00675114130017188	0.00560962259652474	0.00857453102182948
Visa_mfinanciacion_limite	0.00648799005389575	0.0100930084603284	0.0190586737559441
Master_mfinanciacion_limite	0.00593691344089578	0.0175549564832367	0.0192084472235743
Visa_mlimitecompra	0.00584193000472765	0.00738272718487633	0.0148650166622983
mpagomiscuentas	0.00581030870125649	0.00941977287176743	0.00917362489235032
Master_mlimitecompra	0.00575459721392772	0.0102065312466408	0.0155764406335418
mcomisiones_otras	0.00563876922881327	0.0078862029157406	0.0149399033961134
mttarjeta_visa_debitos_automaticos	0.00561511488419028	0.00711236188092783	0.0112704534391733
mcomisiones	0.00551416887542929	0.00771410038285259	0.0159883176695248
Master_msaldototal	0.00548113484922053	0.00785078431373036	0.00995993559740892
mtarjeta_master_consumo	0.00537008018455751	0.00684271527921536	0.00576627850376306
Master_mpagospesos	0.00503521011620635	0.0150064291637192	0.0137791590219793
Visa_mconsumospesos	0.00465565194374987	0.00872144520079216	0.0141161493241472
tmobile_app	0.00462506981182613	0.00928437378197146	0.00307035608641929
mcaja_ahorro_dolares	0.00457473844660832	0.0129047572570928	0.0133298386190886
ctransferencias_recibidas	0.0045010477082832	0.0117022085003768	0.0108585764031902
